model,task_dir,attempts,llm_calls,accepted_repairs,input_tokens_in_log,output_tokens_in_log,top_action,top_action_count,top_error,top_error_count
claude-s4,o-AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds_per_cr-20251202-214416,20,39,2,2705591,41693,uselemma,18,AssertFail,19
claude,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp-20251201-032330,20,39,1,2587474,61951,uselemma,19,AssertFail,19
claude,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_send_create_pod_req-20251130-234912,20,39,4,2493871,45776,uselemma,12,AssertFail,18
claude-s4,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_to_send_delete_pod_req-20251203-031953,20,39,12,2467859,33020,instantiate_forall,9,AssertFail,17
claude,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_eventually_always_garbage_collector_does_not_delete_vrs_pods-20251130-174748,20,39,1,2388627,61160,uselemma,19,AssertFail,19
claude-s4,o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251204-045914,20,39,8,2190256,32629,add_trigger_assert,9,AssertFail,18
claude,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_api_request_other_than_pending_req_msg_maintains_matching_pods-20251130-195028,20,39,4,2136648,46284,case_analysis,8,AssertFail,19
o4mini,o-AC__vreplicaset_controller__proof__liveness__spec__spec_of_previous_phases_entails_eventually_new_invariants-20251126-115528,20,39,6,2118423,152861,precondition_repair,7,AssertFail,12
claude,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251130-164251,20,39,6,2106864,37326,add_trigger_assert,9,AssertFail,18
claude-s4,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_create_matching_pod_request_adds_matching_pod_and_returns_ok-20251202-205053,20,39,13,2027652,28700,case_analysis,12,AssertFail,17
claude-s4,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_api_request_other_than_pending_req_msg_maintains_matching_pods-20251202-203816,20,39,7,1950539,34786,case_analysis,11,AssertFail,19
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_delete_pod_req_to_receive_ok_resp-20251126-091146,20,39,11,1942544,329979,uselemma,11,AssertFail,17
claude,o-NR__spec_t__os_invariant__step_MapNoOp_and_step_MapOpChange_preserves_overlap_mem_inv-20251202-020218,20,39,8,1871565,43004,add_trigger_assert,12,AssertFail,17
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_at_after_delete_pod_step_to_done-20251126-071146,20,39,8,1868803,190890,case_analysis,10,AssertFail,18
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_send_delete_pod_req-20251126-061146,20,39,15,1858323,206980,uselemma,6,AssertFail,16
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_send_list_pods_req_to_receive_list_pods_resp-20251126-094146,20,39,2,1850204,393428,uselemma,15,AssertFail,19
claude,o-NR__impl_u__os_refinement__step_UnmapEnd_refines-20251201-184131,20,39,9,1834592,50043,seqsetmap,7,AssertFail,19
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_to_send_create_pod_req-20251126-074146,20,39,9,1813581,233694,case_analysis,13,AssertFail,18
o4mini,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_send_delete_pod_req-20251126-055215,20,39,5,1761894,158350,postcondition_repair,13,PostCondFail,13
o4mini,o-NR__impl_u__wrapped_token__impl3_write_stutter-20251128-113420,20,39,16,1722657,197273,extensional_equality,8,AssertFail,16
claude-s4,o-NR__impl_u__os_refinement__step_UnmapOpChange_refines-20251203-223809,20,39,4,1664565,31320,add_trigger_assert,11,AssertFail,19
claude,o-NR__impl_u__os_refinement__vaddr_mapping_is_being_modified_from_vaddr_unmap-20251201-194250,20,39,6,1525350,50153,add_trigger_assert,8,AssertFail,18
o4mini,o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-120421,20,39,11,1413599,178719,precondition_repair,8,AssertFail,15
claude-s4,o-NR__impl_u__os_refinement__extra_mappings_removed-20251203-184444,20,39,16,1393146,31032,case_analysis,5,AssertFail,18
claude,o-IR__host_impl_v__impl2__receive_packet_next-20251201-043905,20,39,6,1251929,40619,case_analysis,6,AssertFail,18
claude-s4,o-NR__impl_u__os_refinement__no_overlaps_interp_pt_mem-20251203-200847,20,39,10,1244124,31694,case_analysis,12,AssertFail,19
claude,o-OS__process_manager__impl_base__impl0__schedule_blocked_thread-20251202-110054,20,39,6,1184066,36159,add_trigger_assert,9,AssertFail,17
claude,o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper1-20251202-040725,20,39,4,1102373,52405,add_trigger_assert,18,AssertFail,19
claude,o-IR__host_impl_v__impl2__real_next_impl-20251201-041216,20,39,17,1087186,40036,instantiate_exists,8,AssertFail,18
claude-s4,o-IR__host_impl_v__impl2__real_next_impl-20251203-095511,20,39,20,1081393,33236,instantiate_exists,12,AssertFail,19
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__remove_io_mapping_4k_helper1-20251204-015110,20,39,12,1066534,36548,instantiate_forall,11,AssertFail,19
claude-s4,o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251204-140010,20,39,3,1024678,36750,add_trigger_assert,11,AssertFail,19
claude-s4,o-OS__memory_manager__spec_impl__impl0__create_iommu_table_l4_entry-20251204-065244,20,39,7,1019887,37955,seqsetmap,7,AssertFail,15
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251204-022613,20,39,10,1007915,42990,case_analysis,14,AssertFail,19
gpt5,o-OS__memory_manager__spec_impl__impl0__create_iommu_table_l4_entry-20251129-012311,20,39,7,1003842,267122,seqsetmap,11,AssertFail,17
claude,o-NR__spec_t__mmu__rl2__next_step_preserves_inv_unmapping__inflight_walks-20251202-052503,20,39,9,998239,51159,add_trigger_assert,9,AssertFail,15
gpt5,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l3-20251129-065338,20,39,6,939845,141176,seqsetmap,7,AssertFail,15
gpt5,o-OS__memory_manager__spec_impl__impl0__create_iommu_table_l2_entry-20251129-002310,20,39,13,933281,246626,extensional_equality,7,AssertFail,18
claude,o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251201-221426,20,39,5,912831,38987,add_trigger_assert,11,AssertFail,19
gpt5,o-OS__process_manager__impl_new_thread__impl0__new_thread-20251129-124442,20,39,7,905851,240106,instantiate_forall,10,AssertFail,16
gpt5,o-OS__memory_manager__spec_impl__impl0__create_pagetable_l4_entry-20251129-025311,20,39,12,890635,305223,extensional_equality,9,AssertFail,18
claude,o-ST__inv_L_if_view_differs_only_in_log_area_parts_not_accessed_by_recovery_then_recover_state_matches-20251202-165618,20,39,6,889326,55479,seqsetmap,6,AssertFail,19
o4mini,o-OS__process_manager__impl_kill_proc__impl0__kill_process_none_root-20251129-093749,20,39,3,875732,121540,uselemma,18,AssertFail,18
claude,o-NR__spec_t__hlproof__map_start_preserves_inv-20251201-234316,20,39,8,850214,54870,seqsetmap,8,AssertFail,19
gpt5,o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper3-20251128-131551,20,39,3,840228,219925,instantiate_forall,11,AssertFail,19
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__map_2m_page-20251129-015044,20,39,9,815113,127942,uselemma,11,AssertFail,15
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__remove_l2_entry-20251129-022737,20,39,7,806062,128183,uselemma,13,AssertFail,16
claude-s4,o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251204-134727,20,39,7,800143,35414,seqsetmap,6,AssertFail,19
claude,o-NR__spec_t__mmu__rl2__next_step_preserves_inv_unmapping__core_vs_writer_reads-20251202-051250,20,39,9,773847,37049,uselemma,8,AssertFail,19
gpt5,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l4-20251129-072338,20,39,10,766458,155904,case_analysis,10,AssertFail,14
claude,o-OS__process_manager__container_tree__new_container_preserve_tree_inv_5-20251202-084440,20,39,4,746640,58061,add_trigger_assert,12,AssertFail,19
claude,o-NR__impl_u__l1__impl2__lemma_interp_of_entry_insert_implies_interp_aux_insert-20251201-150040,20,39,5,744647,53562,seqsetmap,11,AssertFail,19
claude-s4,o-NR__impl_u__l1__impl2__lemma_interp_entries_remove_implies_interp_remove-20251203-163648,20,39,8,742754,37052,seqsetmap,12,AssertFail,19
claude,o-NR__impl_u__l1__impl2__lemma_entries_interp_insert_implies_interp_aux_insert-20251201-140845,20,39,6,738462,53933,seqsetmap,9,AssertFail,19
gpt5,o-OS__process_manager__spec_proof__impl2__container_owned_procs_disjoint_inv-20251129-160520,20,39,2,732377,212895,instantiate_forall,11,AssertFail,19
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l3-20251129-002739,20,39,10,725518,122104,uselemma,11,AssertFail,14
claude,o-OS__process_manager__container_tree__remove_container_preserve_tree_inv_6-20251202-092107,20,39,3,720989,59653,add_trigger_assert,12,AssertFail,19
claude-s4,o-ST__inv_L_invariant_imply_crash_recover_for_one_log-20251204-164341,20,39,7,717843,32136,seqsetmap,11,AssertFail,19
o4mini,o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251128-082728,20,39,1,680928,125371,instantiate_forall,19,AssertFail,19
claude-s4,o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251204-160236,20,39,7,677670,37516,seqsetmap,10,AssertFail,19
claude-s4,o-NR__spec_t__hlproof__map_end_preserves_inv-20251204-023016,20,39,5,663839,37173,seqsetmap,8,AssertFail,19
claude,o-NR__spec_t__mmu__rl2__lemma_mem_view_after_step_write-20251202-014543,20,39,6,642081,51464,add_trigger_assert,10,AssertFail,19
claude,o-ST__inv_L_active_metadata_types_equal_implies_metadata_types_set-20251202-162039,20,39,2,641122,55607,add_trigger_assert,6,AssertFail,19
gpt5,o-ST__inv_L_updating_inactive_crc_maintains_invariants-20251130-021215,20,39,3,637029,308022,seqsetmap,9,AssertFail,17
claude,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper4-20251202-145133,20,39,6,625737,50736,add_trigger_assert,13,AssertFail,19
claude-s4,o-NR__spec_t__mmu__rl2__lemma_iter_walk_result_vbase_equal_aux2-20251204-042038,20,39,11,615755,39723,case_analysis,13,AssertFail,19
gpt5,o-NR__spec_t__mmu__translation__impl1__lemma_view_unchanged_dirty_access-20251127-221352,20,39,2,591095,186466,bit_vector_reasoning,15,AssertFail,19
claude-s4,o-OS__process_manager__container_tree__remove_container_preserve_tree_inv_2-20251204-100233,20,39,12,590412,33131,case_analysis,8,AssertFail,19
gpt5,o-ST__logimpl_tentatively_append-20251130-054437,20,39,4,588137,476083,uselemma,16,AssertFail,18
claude,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper3-20251202-143715,20,39,6,569838,47727,add_trigger_assert,8,AssertFail,19
claude,o-OS__slinkedlist__spec_impl_u__impl2__pop-20251202-134110,20,39,6,560347,55138,case_analysis,9,AssertFail,18
claude,o-IR__delegation_map_v__impl4__range_consistent_impl-20251201-002457,20,39,9,538638,52206,case_analysis,13,AssertFail,18
claude-s4,o-OS__slinkedlist__spec_impl_u__impl2__remove_helper1-20251204-142759,20,39,9,527703,32342,case_analysis,8,AssertFail,19
claude,o-OS__va_range__impl2_new-20251202-155816,20,39,2,497605,44883,seqsetmap,15,AssertFail,18
claude-s4,o-NR__spec_t__hlproof__insert_map_preserves_unique-20251204-021730,20,39,8,491868,37833,seqsetmap,8,AssertFail,19
claude-s4,o-OS__process_manager__process_tree__no_child_imply_no_subtree-20251204-133001,20,39,4,486762,37092,case_analysis,7,AssertFail,19
gpt5,o-NR__spec_t__mmu__rl2__lemma_valid_implies_equal_walks-20251128-192545,20,39,4,485181,235910,compute,6,AssertFail,19
claude-s4,o-NR__spec_t__mmu__pt_mem__impl0__lemma_pt_walk-20251204-031711,20,39,2,483070,33185,case_analysis,9,AssertFail,18
claude,o-IR__delegation_map_v__impl4__almost_all_keys_agree-20251201-000505,20,39,9,478659,50658,add_trigger_assert,8,AssertFail,19
gpt5,o-ST__inv_L_metadata_types_set_after_cdb_update-20251130-014215,20,39,6,470338,282819,case_analysis,6,AssertFail,19
claude-s4,o-NR__spec_t__mmu__pt_mem__impl0__lemma_write_seq_first-20251204-032627,20,39,2,465708,33111,seqsetmap,9,AssertFail,19
o4mini,o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251128-021841,20,39,5,462565,212460,seqsetmap,12,AssertFail,19
claude,o-ST__subregion_L_condition_sufficient_to_create_wrpm_subregion-20251202-120831,20,39,7,456224,53432,case_analysis,9,AssertFail,19
gpt5,o-NR__spec_t__mmu__rl2__lemma_iter_walk_result_vbase_equal_aux2-20251128-145423,20,39,4,439656,254624,case_analysis,16,AssertFail,19
claude-s4,o-NR__spec_t__os_invariant__lemma_insert_preserves_no_overlap-20251203-201921,20,39,11,420960,34220,instantiate_forall,11,AssertFail,19
claude,o-AL__map_values_to_set_eq_to_set_mk_map_values-20251130-170231,20,39,4,403863,42716,seqsetmap,13,AssertFail,19
claude,o-AL__leads_to_stable-20251130-163807,20,39,10,391265,47042,induction,5,AssertFail,19
claude-s4,o-IR__marshal_v__impl4__lemma_serialization_is_not_a_prefix_of-20251203-124539,20,39,5,383893,32670,uselemma,5,AssertFail,19
claude-s4,o-ST__pmemutil_check_crc-20251204-092834,20,39,12,371954,34897,uselemma,9,AssertFail,18
claude-s4,o-AL__seq_filter_preserves_no_duplicates-20251202-201931,20,39,5,367811,30964,seqsetmap,11,AssertFail,19
claude-s4,o-ST__subregion_L_condition_sufficient_to_create_wrpm_subregion-20251204-095935,20,39,7,353446,33391,case_analysis,8,AssertFail,19
o4mini,o-NR__spec_t__hlproof__unmap_start_preserves_inv-20251128-142836,20,39,11,345490,193277,case_analysis,9,AssertFail,19
claude,o-NR__spec_t__mmu__pt_mem__lemma_fold_left_push-20251202-004138,20,39,3,334608,39760,induction,7,AssertFail,19
claude-s4,o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251203-104900,20,39,14,333907,30263,case_analysis,11,AssertFail,18
claude,o-IR__marshal_ironsht_specific_v__impl2__lemma_serialize_injective-20251201-050657,20,39,2,320201,36863,uselemma,17,AssertFail,19
gpt5,o-ST__logimpl_update_inactive_log_metadata-20251130-064437,20,39,6,318921,174672,nonlinear_arithmetic,10,AssertFail,14
o4mini,o-NR__spec_t__hlproof__map_end_preserves_inv-20251128-133134,20,39,7,315335,186393,case_analysis,13,AssertFail,19
claude,o-NO__spec__linearization__trick_equiv-20251201-120621,20,39,6,299341,41875,case_analysis,6,AssertFail,19
claude-s4,o-NR__spec_t__mmu__pt_mem__lemma_fold_left_push-20251204-033655,20,39,1,295141,32705,induction,9,AssertFail,19
gpt5,o-IR__seq_is_unique__endpoints_contain-20251127-042440,20,39,3,294508,194240,loopinv,17,AssertFail,18
claude,o-AL__always_p_or_eventually_q_rec-20251201-080545,20,39,1,293596,35220,induction,18,AssertFail,19
gpt5,o-MA__bin_sizes__bounds_for_smallest_bin_fitting_size-20251127-141408,20,39,4,290048,279647,compute,9,AssertFail,19
claude-s4,o-AL__leads_to_weaken-20251202-181704,20,39,10,283556,31550,instantiate_forall,12,AssertFail,19
gpt5,o-IR__verus_extra__lemma_fold_left_append_merge-20251127-093654,20,39,13,271097,132780,case_analysis,15,AssertFail,19
gpt5,o-IR__marshal_v__impl5__lemma_serialize_injective-20251127-024841,20,39,6,267495,277504,extensional_equality,5,AssertFail,18
claude,o-MA__commit_mask__impl__any_set-20251201-133202,20,39,1,262967,36946,uselemma,17,AssertFail,19
claude,o-AL__vec_lib-20251130-205333,20,39,8,255382,33297,seqsetmap,12,AssertFail,16
claude-s4,o-MA__commit_mask__impl__all_set-20251203-174330,20,39,2,252331,30864,uselemma,17,AssertFail,18
claude-s4,o-MA__layout__impl__align_down-20251203-130933,20,39,4,229780,27428,bit_vector_reasoning,8,AssertFail,18
gpt5,o-NO__spec__unbounded_log__LogRangeMatchesQueue_append-20251127-050238,20,39,15,229561,199090,instantiate_forall,17,AssertFail,19
gpt5,o-MA__commit_mask__impl__any_set-20251127-181846,20,39,1,224073,186134,uselemma,17,AssertFail,18
gpt5,o-NR__spec_t__mmu__pt_mem__lemma_fold_left_push-20251128-122945,20,39,14,214129,120451,case_analysis,15,AssertFail,19
gpt5,o-AL__tla_forall_implies_equality1-20251125-225223,20,39,17,207086,164884,instantiate_forall,17,AssertFail,19
o4mini,o-MA__commit_mask__lemma_obtain_bit_index_3_aux-20251127-015510,20,39,13,181854,126085,induction,5,AssertFail,11
gpt5,o-AL__vec_lib-20251126-015930,20,39,14,152958,133932,instantiate_forall,13,AssertFail,17
claude,o-AC__vreplicaset_controller__proof__liveness__proof__eventually_stable_reconciliation_holds_per_cr-20251130-205350,20,38,5,2711010,49410,uselemma,16,AssertFail,18
claude,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_ok_resp_at_after_delete_pod_step_to_done-20251201-010722,20,38,9,2372534,42907,case_analysis,10,AssertFail,17
claude,o-NR__impl_u__wrapped_token__impl2__write_stutter-20251201-212231,20,38,14,2151005,39631,case_analysis,8,AssertFail,13
claude,o-AC__vreplicaset_controller__proof__liveness__proof__lemma_from_scheduled_to_init_step-20251130-212750,20,38,5,2124012,45006,case_analysis,10,AssertFail,18
claude,o-AC__vreplicaset_controller__proof__liveness__proof__lemma_from_reconcile_idle_to_scheduled-20251130-211004,20,38,12,2074687,50564,case_analysis,14,AssertFail,18
claude,o-NR__spec_t__os_invariant__next_step_preserves_overlap_mem_inv-20251202-011345,20,38,11,2065407,58738,instantiate_forall,7,AssertFail,18
claude,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251130-165858,20,38,4,2020511,36109,case_analysis,7,AssertFail,18
claude-s4,o-NR__impl_u__wrapped_token__impl2__write_stutter-20251204-011225,20,38,5,2012638,24177,uselemma,11,AssertFail,14
claude-s4,o-NR__spec_t__os_invariant__next_step_preserves_inv_basic-20251203-210104,20,38,13,1988631,33739,instantiate_forall,7,AssertFail,18
claude-s4,o-OS__kernel__syscall_receive_pages__impl0__syscall_receive_pages-20251204-055739,20,38,6,1922503,27683,precondition_repair,5,AssertFail,17
claude,o-OS__kernel__create_and_share_pages__impl0__share_mapping-20251202-055633,20,38,0,1852166,89430,postcondition_repair,20,PostCondFail,20
claude-s4,o-OS__kernel__create_and_map_pages__impl0__alloc_and_map-20251204-024126,20,38,6,1838378,35575,add_trigger_assert,11,AssertFail,18
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_delete_pod_resp_to_receive_delete_pod_resp-20251126-034158,19,38,12,1815588,158334,instantiate_forall,7,AssertFail,16
claude-s4,o-NR__theorem__lemma1_next-20251203-235322,20,38,0,1785872,16548,postcondition_repair,20,PostCondFail,20
claude-s4,o-OS__kernel__syscall_mmap__impl0__syscall_mmap-20251204-052547,20,38,4,1620419,45180,postcondition_repair,9,PostCondFail,9
gpt5,o-NR__impl_u__wrapped_token__impl3_write_stutter-20251128-073750,20,38,2,1620176,317052,uselemma,17,AssertFail,17
o4mini,o-OS__kernel__mem_util__impl0__create_entry-20251128-171000,20,38,10,1568450,191740,case_analysis,5,AssertFail,17
o4mini,o-NR__impl_u__wrapped_token__impl2__finish_map_and_release_lock-20251128-084044,20,38,2,1554325,130882,uselemma,15,AssertFail,15
gpt5,o-OS__process_manager__impl_new_container__impl0__new_container_with_endpoint-20251129-121442,20,38,10,1387744,185663,seqsetmap,7,AssertFail,15
claude-s4,o-OS__memory_manager__spec_impl__impl0__create_iommu_table_l2_entry-20251204-063506,20,38,8,1232213,40094,seqsetmap,9,AssertFail,17
claude,o-OS__process_manager__impl_base__impl0__new_endpoint-20251202-102358,20,38,10,1145076,45132,add_trigger_assert,11,AssertFail,16
claude,o-NR__theorem__lemma1_init-20251202-021934,20,38,0,1135792,17928,postcondition_repair,20,PostCondFail,20
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m-20251204-001232,20,38,12,1095531,37185,uselemma,6,AssertFail,18
claude-s4,o-OS__pagetable__pagetable_impl_base__impl0__map_2m_page-20251204-084315,20,38,4,1055735,37891,add_trigger_assert,11,AssertFail,18
claude,o-OS__process_manager__impl_base__impl0__block_running_thread-20251202-093640,20,38,2,1041159,40051,add_trigger_assert,17,AssertFail,19
claude,o-OS__memory_manager__spec_impl__impl0__create_pagetable_l4_entry-20251202-093832,20,38,8,1019775,53158,seqsetmap,5,AssertFail,14
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__remove_mapping_4k_helper2-20251204-021634,20,38,4,990839,32765,add_trigger_assert,11,AssertFail,18
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__alloc_and_map_io_4k-20251204-005241,20,38,10,989235,33823,uselemma,8,AssertFail,18
claude-s4,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l2-20251204-080145,20,38,8,987638,38245,add_trigger_assert,6,AssertFail,18
gpt5,o-OS__pagetable__pagetable_impl_base__impl0__create_entry_l2-20251129-062338,20,38,9,952046,177525,seqsetmap,8,AssertFail,14
claude,o-OS__allocator__page_allocator_spec_impl__impl2__alloc_and_map_2m-20251202-024027,20,38,3,943642,40675,uselemma,8,AssertFail,18
claude,o-OS__allocator__page_allocator_spec_impl__impl2__alloc_page_2m-20251202-032204,20,38,8,921375,40629,add_trigger_assert,8,AssertFail,18
gpt5,o-IR__host_impl_v__impl2__process_received_packet_next-20251126-145733,20,38,2,878464,257233,uselemma,18,AssertFail,18
gpt5,o-OS__memory_manager__spec_impl__impl0__create_pagetable_l3_entry-20251129-022311,20,38,9,874922,275897,extensional_equality,6,AssertFail,18
claude-s4,o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets-20251203-140401,20,38,11,849667,24382,seqsetmap,9,AssertFail,12
claude-s4,o-NR__spec_t__hlspec__next_step_preserves_inv-20251204-025909,20,38,11,811480,36462,seqsetmap,5,AssertFail,18
claude,o-IR__single_delivery_model_v__impl2__retransmit_un_acked_packets-20251201-092448,20,38,9,792135,38177,add_trigger_assert,6,AssertFail,15
claude,o-NR__impl_u__l1__impl2__lemma_entries_interp_remove_implies_interp_aux_remove-20251201-142315,20,38,5,783492,54937,seqsetmap,10,AssertFail,19
claude,o-IR__single_delivery_model_v__impl2__send_single_cmessage-20251201-094911,20,38,4,713560,47342,add_trigger_assert,6,AssertFail,18
claude-s4,o-IR__single_delivery_model_v__impl2__send_single_cmessage-20251203-141819,20,38,6,702659,32750,nonlinear_arithmetic,12,AssertFail,17
o4mini,o-OS__process_manager__impl_base__impl0__set_container_mem_quota_mem_4k-20251129-090328,20,38,11,699869,116497,case_analysis,8,AssertFail,18
claude-s4,o-ST__layout_L_if_only_differences_in_memory_are_inactive_metadata_then_recover_state_matches-20251204-171632,20,38,7,675519,30043,seqsetmap,11,AssertFail,17
claude,o-NR__spec_t__mmu__rl2__lemma_iter_walk_result_vbase_equal_aux2-20251202-012536,20,38,6,665531,57009,case_analysis,11,AssertFail,18
claude,o-ST__setup_write_setup_metadata_to_region-20251202-114725,20,38,6,619972,42943,add_trigger_assert,11,AssertFail,18
claude-s4,o-IR__single_delivery_state_v__impl0__truncate-20251203-142737,20,38,7,612302,35489,postcondition_repair,5,AssertFail,14
claude,o-OS__memory_manager__spec_impl__impl0__create_iommu_table_l4_entry-20251202-084956,20,38,0,584109,92282,postcondition_repair,20,PostCondFail,20
claude-s4,o-ST__setup_write_setup_metadata_to_region-20251204-093659,20,38,13,533817,31837,uselemma,8,AssertFail,18
claude,o-IR__delegation_map_v__impl3__set-20251130-234606,18,38,9,497566,41834,seqsetmap,7,AssertFail,15
claude-s4,o-IR__marshal_v__impl4__lemma_serialize_injective-20251203-125352,20,38,6,491815,31217,seqsetmap,15,AssertFail,18
claude-s4,o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251203-201028,19,38,7,456634,37093,instantiate_forall,7,AssertFail,17
claude-s4,o-IR__delegation_map_v__impl4__set-20251203-055027,20,38,8,456347,31150,case_analysis,6,AssertFail,17
gpt5,o-OS__va_range__impl2_new-20251129-224152,20,38,1,440572,209649,seqsetmap,18,AssertFail,18
gpt5,o-IR__net_sht_v__send_packet_seq-20251127-034339,20,38,11,413784,157255,instantiate_forall,8,AssertFail,16
claude-s4,o-NR__spec_t__mmu__translation__impl1__lemma_view_unchanged_dirty_access-20251203-184645,20,38,12,409793,44227,bitvassert_repair,8,AssertFail,10
claude,o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251202-140730,20,38,7,402939,45538,induction,6,AssertFail,18
claude,o-IR__marshal_v__impl5__lemma_serialize_injective-20251201-084127,20,38,11,378350,49400,uselemma,7,AssertFail,15
gpt5,o-IR__delegation_map_v__impl4__range_consistent_impl-20251126-092154,20,38,3,370957,360205,instantiate_forall,8,AssertFail,16
gpt5,o-IR__delegation_map_v__impl4__set-20251126-101826,20,38,10,363609,196188,case_analysis,8,AssertFail,17
claude-s4,o-IR__delegation_map_v__impl4__range_consistent_subset-20251203-052452,20,38,3,346297,39132,instantiate_forall,7,AssertFail,19
o4mini,o-OS__process_manager__container_tree__container_tree_check_is_ancestor-20251129-032223,20,38,12,322702,115329,instantiate_forall,8,AssertFail,16
claude-s4,o-VE__regular__leb128__impl2__lemma_spec_serialize_length-20251204-111420,20,38,8,282716,32393,induction,7,AssertFail,16
claude-s4,o-AL__leads_to_shortcut_temp-20251202-171630,20,38,7,253732,33190,case_analysis,12,AssertFail,16
o4mini,o-MA__commit_mask__impl__is_full-20251127-200132,20,38,11,246503,151928,instantiate_forall,6,AssertFail,19
o4mini,o-MA__commit_mask__impl__create_full-20251127-192024,20,38,4,246326,140385,nonlinear_arithmetic,8,AssertFail,19
o4mini,o-IR__host_impl_v__impl2__effect_of_delegation_map_set-20251126-132840,20,38,4,241538,123052,postcondition_repair,6,AssertFail,14
gpt5,o-IR__seq_is_unique__test_unique-20251127-045440,20,38,3,240377,194329,reveal_opaque,17,AssertFail,17
claude,o-MA__layout__impl__align_down-20251201-101552,20,38,4,230526,35707,nonlinear_arithmetic,10,AssertFail,18
o4mini,o-IR__delegation_map_v__impl3__keys_in_index_range_agree-20251126-092241,20,38,8,220606,146668,case_analysis,10,AssertFail,18
o4mini,o-AL__leads_to_exists_intro-20251127-004609,20,38,12,198460,140138,instantiate_forall,4,AssertFail,15
claude,o-NR__extra__mod_mult_zero_implies_mod_zero-20251201-131123,17,38,3,193770,35265,nonlinear_arithmetic,7,AssertFail,15
o4mini,o-IR__verus_extra__set_map_union-20251127-124129,10,38,2,142307,98035,extensional_equality,8,AssertFail,8
claude-s4,o-AC__vreplicaset_controller__proof__liveness__proof_lemma_true_leads_to_always_current_state_matches-20251202-224004,20,37,7,2720507,33630,uselemma,13,AssertFail,17
claude-s4,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_list_pods_request_returns_ok_list_resp_containing_matching_pods-20251202-211344,20,37,10,2192327,29866,seqsetmap,10,AssertFail,17
claude-s4,o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251203-061923,20,37,16,2125198,30675,instantiate_forall,13,AssertFail,17
